name,licenses,licenses_url,url,cite,animals,real_animals,year,reported_n_total,reported_n_identified,reported_n_photos,reported_n_individuals,wild,clear_photos,pose,unique_pattern,from_video,full_frame,span
AAUZebraFishID,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://www.kaggle.com/datasets/aalborguniversity/aau-zebrafish-reid,bruslund2020re,"{'zebrafish'}",True,2020,6672,6672,2224,6,False,True,double,False,True,True,1 day
AerialCattle2017,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/3owflku95bxsx24643cybxu3qh,andrew2017visual,"{'Friesian cattle'}",True,2017,46340,46340,46340,23,False,True,single,True,True,False,1 day
ATRW,Attribution-NonCommercial-ShareAlike 4.0 International,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://lila.science/datasets/atrw,li2019atrw,"{'amur tiger'}",True,2019,9496,3649,8076,92,False,False,double,True,True,True,short
BelugaID,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,https://lila.science/datasets/beluga-id-2022/,belugaid,"{'beluga whale'}",True,2022,5902,5902,5902,788,True,True,single,False,False,False,2.1 years
BirdIndividualID,,,https://github.com/AndreCFerreira/Bird_individualID,ferreira2020deep,"{'sociable weaver', 'great tit', 'zebra finch'}",True,2019,50643,50643,50643,50,False,True,single,False,False,True,15 days
CTai,,,https://github.com/cvjena/chimpanzee_faces,freytag2016chimpanzee,"{'chimpanzee'}",True,2016,5078,5078,5078,78,True,True,single,False,False,False,unknown
CZoo,,,https://github.com/cvjena/chimpanzee_faces,freytag2016chimpanzee,"{'chimpanzee'}",True,2016,2109,2109,2109,24,False,True,single,False,False,False,unknown
Cows2021,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/4vnrca7qw1642qlwxjadp87h7,gao2021towards,"{'cow'}",True,2021,13784,13784,13784,181,False,True,single,True,True,False,1 month
Drosophila,,,https://github.com/j-schneider/fly_eye,schneider2018can,"{'drosophila'}",True,2018,2592000,2592000,2592000,60,False,True,single,True,True,False,3 days
FriesianCattle2015,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/wurzq71kfm561ljahbwjhx9n3,andrew2016automatic,"{'Friesian cattle'}",True,2016,377,377,377,40,False,True,single,True,True,False,1 day
