name,licenses,licenses_url,url,publication_url,cite,animals,animals_simple,real_animals,year,reported_n_total,reported_n_identified,reported_n_photos,reported_n_individuals,wild,clear_photos,pose,unique_pattern,from_video,cropped,span,size
AAUZebraFish,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://www.kaggle.com/datasets/aalborguniversity/aau-zebrafish-reid,https://openaccess.thecvf.com/content_WACVW_2020/html/w2/Haurum_Re-Identification_of_Zebrafish_using_Metric_Learning_WACVW_2020_paper.html,bruslund2020re,"{'zebrafish'}",fish,True,2020,6672,6672,2224,6,False,True,double,False,True,False,1 day,12093
AerialCattle2017,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/3owflku95bxsx24643cybxu3qh,https://openaccess.thecvf.com/content_ICCV_2017_workshops/w41/html/Andrew_Visual_Localisation_and_ICCV_2017_paper.html,andrew2017visual,"{'Friesian cattle'}",cows,True,2017,46340,46340,46340,23,False,True,single,True,True,True,1 day,724
AmvrakikosTurtles,Other,https://www.kaggle.com/datasets/wildlifedatasets/amvrakikosturtles,https://www.kaggle.com/datasets/wildlifedatasets/amvrakikosturtles,https://www.biorxiv.org/content/10.1101/2024.09.13.612839,adam2024exploiting,"{'loggerhead turtle'}",sea turtles,True,2024,200,200,200,50,True,True,double,True,False,False,4.4 years,1870
AnimalCLEF2025,Other,https://www.kaggle.com/competitions/animal-clef-2025,https://www.kaggle.com/competitions/animal-clef-2025,,,"{'loggerhead turtle', 'lynx', 'salamander'}",multiple,True,2025,15209,13074,15209,1102,True,True,multiple,True,False,True,long,1930
ATRW,Attribution-NonCommercial-ShareAlike 4.0 International,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://lila.science/datasets/atrw,https://arxiv.org/abs/1906.05586,li2019atrw,"{'amur tiger'}",tigers,True,2019,9496,3649,8076,92,False,False,double,True,True,False,short,1760
BelugaID,Community Data License Agreement – Permissive,https://cdla.dev/permissive-1-0/,https://lila.science/datasets/beluga-id-2022/,,belugaid,"{'beluga whale'}",whales,True,2022,5902,5902,5902,788,True,True,single,False,False,True,2.1 years,590
BirdIndividualID,,,https://github.com/AndreCFerreira/Bird_individualID,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.13436,ferreira2020deep,"{'sociable weaver', 'great tit', 'zebra finch'}",birds,True,2019,50643,50643,50643,50,False,True,single,False,False,False,15 days,70656
CatIndividualImages,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://www.kaggle.com/datasets/timost1234/cat-individuals,,catindividuals,"{'cat'}",cats,True,2020,13536,13536,13536,518,False,True,multiple,True,False,True,short,11000
CTai,Other,https://github.com/cvjena/chimpanzee_faces/blob/master/README.md,https://github.com/cvjena/chimpanzee_faces,https://link.springer.com/chapter/10.1007/978-3-319-45886-1_5,freytag2016chimpanzee,"{'chimpanzee'}",chimpanzees,True,2016,5078,5078,5078,78,True,True,single,False,False,True,unknown,634
CZoo,Other,https://github.com/cvjena/chimpanzee_faces/blob/master/README.md,https://github.com/cvjena/chimpanzee_faces,https://link.springer.com/chapter/10.1007/978-3-319-45886-1_5,freytag2016chimpanzee,"{'chimpanzee'}",chimpanzees,True,2016,2109,2109,2109,24,False,True,single,False,False,True,unknown,634
Chicks4FreeID,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://huggingface.co/datasets/dariakern/Chicks4FreeID,,kern2024towards,"{'chickens'}",chickens,True,2024,1146,1146,1146,50,False,True,single,False,False,True,short,1401
CowDataset,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://figshare.com/articles/dataset/data_set_zip/16879780,,cowdataset,"{'cow'}",cows,True,2021,1485,1485,1485,13,False,True,double,True,False,False,short,4150
Cows2021,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/4vnrca7qw1642qlwxjadp87h7,https://arxiv.org/abs/2105.01938,gao2021towards,"{'cow'}",cows,True,2021,13784,13784,13784,181,False,True,single,True,True,True,1 month,18881
DogFaceNet,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://github.com/GuillaumeMougeot/DogFaceNet,https://link.springer.com/chapter/10.1007/978-3-030-29894-4_34,mougeot2019deep,"{'dog'}",dogs,True,2019,8363,8363,8363,1393,False,True,single,False,False,True,short,76
Drosophila,Other,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP2/JP4WDF&version=1.3&selectTab=termsTab,https://github.com/j-schneider/fly_eye,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0205043,schneider2018can,"{'drosophila'}",flies,True,2018,2592000,2592000,2592000,60,False,True,single,True,True,True,3 days,74856
ELPephants,Other,https://inf-cv.uni-jena.de/home/research/datasets/elpephants/,https://inf-cv.uni-jena.de/home/research/datasets/elpephants/,https://openaccess.thecvf.com/content_ICCVW_2019/html/CVWC/Korschens_ELPephants_A_Fine-Grained_Dataset_for_Elephant_Re-Identification_ICCVW_2019_paper.html,korschens2019elpephants,"{'elephant'}",elephants,True,2019,2078,2078,2078,276,True,True,multiple,False,False,False,14 years,625
FriesianCattle2015,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/wurzq71kfm561ljahbwjhx9n3,https://ieeexplore.ieee.org/abstract/document/7532404,andrew2016automatic,"{'Friesian cattle'}",cows,True,2016,377,377,377,40,False,True,single,True,True,True,1 day,76
FriesianCattle2017,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/2yizcfbkuv4352pzc32n54371r,https://openaccess.thecvf.com/content_ICCV_2017_workshops/w41/html/Andrew_Visual_Localisation_and_ICCV_2017_paper.html,andrew2017visual,"{'Friesian cattle'}",cows,True,2017,940,940,940,89,False,True,single,True,True,True,1 day,343
GiraffeZebraID,Community Data License Agreement – Permissive,https://cdla.dev/permissive-1-0/,https://lila.science/datasets/great-zebra-giraffe-id,https://aaai.org/papers/15245-15245-animal-population-censusing-at-scale-with-citizen-science-and-photographic-identification/,parham2017animal,"{'giraffe masai', 'zebra plains'}",giraffes+zebras,True,2017,6925,6925,4948,2056,True,True,double,True,False,False,12 days,10433
Giraffes,,,ftp://pbil.univ-lyon1.fr/pub/datasets/miele2021,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.13577,miele2021revisiting,"{'giraffe'}",giraffes,True,2021,,,,,True,True,double,True,True,True,unknown,1719
HappyWhale,Other,https://www.kaggle.com/competitions/happy-whale-and-dolphin/rules/#7.-competition-data.,https://www.kaggle.com/competitions/happy-whale-and-dolphin,https://link.springer.com/article/10.1007/s42991-021-00180-9,cheeseman2021advanced,"{'whale','dolphin'}",dolphins+whales,True,2022,,,,,True,True,multiple,True,False,False,very long,61912
HumpbackWhaleID,Other,https://www.kaggle.com/competitions/humpback-whale-identification/rules#7.-competition-data.,https://www.kaggle.com/competitions/humpback-whale-identification,,humpbackwhale,"{'whale'}",whales,True,2019,,,,,True,True,single,True,False,True,very long,5911
HyenaID2022,Community Data License Agreement – Permissive,https://cdla.dev/permissive-1-0/,https://lila.science/datasets/hyena-id-2022/,,botswana2022,"{'spotted hyena'}",hyenas,True,2022,3129,3129,3104,256,True,False,multiple,True,False,False,unknown,3441
IPanda50,,,https://github.com/iPandaDateset/iPanda-50,https://ieeexplore.ieee.org/abstract/document/9347819,wang2021giant,"{'great panda'}",pandas,True,2021,6874,6874,6874,50,False,True,multiple,True,False,True,unknown,929
LeopardID2022,Community Data License Agreement – Permissive,https://cdla.dev/permissive-1-0/,https://lila.science/datasets/leopard-id-2022/,,botswana2022,"{'leopard'}",leopards,True,2022,,6805,6795,430,True,False,multiple,True,False,False,unknown,8565
LionData,,,https://github.com/tvanzyl/wildlife_reidentification,https://ieeexplore.ieee.org/abstract/document/9311574,dlamini2020automated,"{'lion'}",lions,True,2020,750,750,750,98,True,True,multiple,True,False,True,unknown,495
MacaqueFaces,Other,https://github.com/clwitham/MacaqueFaces/blob/master/license.md,https://github.com/clwitham/MacaqueFaces,https://www.sciencedirect.com/science/article/pii/S0165027017302637,witham2018automated,"{'rhesus macaque'}",macaques,True,2018,6460,6460,6460,34,False,True,single,False,True,True,1.4 years,12
MPDD,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://data.mendeley.com/datasets/v5j6m8dzhv/1,,he2023animal,"{'dog'}",dogs,True,2023,1657,1657,1657,192,False,True,multiple,False,False,True,short,29.6
MultiCamCows2024,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/2inu67jru7a6821kkgehxg3cv2,https://arxiv.org/abs/2410.12695,yu2024multicamcows2024,"{'Friesian cattle'}",cows,True,2024,101329,101329,101329,90,False,True,single,True,True,True,7 days,36500
NDD20,Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0),https://creativecommons.org/licenses/by-nc-sa/4.0/,https://doi.org/10.25405/data.ncl.c.4982342,https://arxiv.org/abs/2005.13359,trotter2020ndd20,"{'Northumberland dolphin'}",doplhins,True,2020,,,4402,82,True,True,multiple,True,False,False,7 years,2441
NOAARightWhale,Other,https://www.kaggle.com/c/noaa-right-whale-recognition/rules#data,https://www.kaggle.com/c/noaa-right-whale-recognition,,rightwhale,"{'right whale'}",whales,True,2015,,,,,True,False,single,False,False,False,10 years,9790
NyalaData,,,https://github.com/tvanzyl/wildlife_reidentification,https://ieeexplore.ieee.org/abstract/document/9311574,dlamini2020automated,"{'nyala'}",nyalas,True,2020,1934,1934,1934,274,True,True,double,True,False,False,unknown,495
OpenCows2020,Non-Commercial Government Licence for public sector information,https://www.nationalarchives.gov.uk/doc/non-commercial-government-licence/version/2/,https://data.bris.ac.uk/data/dataset/10m32xl88x2b61zlkkgz3fml17,https://www.sciencedirect.com/science/article/pii/S0168169921001514,andrew2021visual,"{'cow'}",cows,True,2020,4736,4736,4736,46,False,True,double,True,True,True,short,2272
PolarBearVidID,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,https://zenodo.org/records/7564529,https://www.mdpi.com/2076-2615/13/5/801,zuerl2023polarbearvidid,"{'polar bear'}",polar bears,True,2023,138363,138363,138363,13,False,True,multiple,False,True,True,short,1501
PrimFace,Other,https://visiome.neuroinf.jp/primface/,https://visiome.neuroinf.jp/primface/,,primface,"{'chimpanzee', 'japanese monkey', 'rhesus monkey'}",monkeys,True,2012,1282,1282,1282,68,False,True,single,False,False,True,short,3700
ReunionTurtles,Other,https://www.kaggle.com/datasets/wildlifedatasets/reunionturtles,https://www.kaggle.com/datasets/wildlifedatasets/reunionturtles,https://www.biorxiv.org/content/10.1101/2024.09.13.612839,adam2024exploiting,"{'green turtle', 'hawksbill turtle'}",sea turtles,True,2024,336,336,336,84,True,True,double,True,False,True,4.2 years,32
SealID,Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.23729/0f4a3296-3b10-40c8-9ad3-0cf00a5a4a53,https://www.mdpi.com/1424-8220/22/19/7602,nepovinnykh2022sealid,"{'ringed seal'}",seals,True,2022,2080,2080,2080,57,True,False,multiple,True,False,False,10 years,1816
SeaStarReID2023,"Community Data License Agreement – Permissive, Version 1.0",https://cdla.dev/permissive-1-0/,https://lila.science/sea-star-re-id-2023/,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.14278,wahltinez2024open,"{'sea star'}",sea stars,True,2023,2187,2187,2187,95,False,True,single,True,False,True,short,1689
SeaTurtleID2022,Other,https://www.kaggle.com/datasets/wildlifedatasets/seaturtleid2022,https://www.kaggle.com/datasets/wildlifedatasets/seaturtleid2022,https://openaccess.thecvf.com/content/WACV2024/html/Adam_SeaTurtleID2022_A_Long-Span_Dataset_for_Reliable_Sea_Turtle_Re-Identification_WACV_2024_paper.html,adam2024seaturtleid2022,"{'loggerhead turtle'}",sea turtles,True,2022,8729,8729,8729,438,True,False,multiple,True,False,False,12 years,2000
SeaTurtleIDHeads,Other,https://www.kaggle.com/datasets/wildlifedatasets/seaturtleidheads,https://www.kaggle.com/datasets/wildlifedatasets/seaturtleidheads,https://openaccess.thecvf.com/content/WACV2024/html/Adam_SeaTurtleID2022_A_Long-Span_Dataset_for_Reliable_Sea_Turtle_Re-Identification_WACV_2024_paper.html,adam2024seaturtleid2022,"{'loggerhead turtle'}",sea turtles,True,2022,7582,7582,7582,400,True,False,multiple,True,False,True,9 years,425
SMALST,MIT License,https://github.com/silviazuffi/smalst/blob/master/LICENSE.txt,https://github.com/silviazuffi/smalst,https://openaccess.thecvf.com/content_ICCV_2019/html/Zuffi_Three-D_Safari_Learning_to_Estimate_Zebra_Pose_Shape_and_Texture_ICCV_2019_paper.html,zuffi2019three,"{'zebra'}",zebras,False,2019,12850,12850,12850,10,False,True,multiple,True,False,False,artificial,11978
SouthernProvinceTurtles,Other,https://www.kaggle.com/datasets/wildlifedatasets/southernprovinceturtles,https://www.kaggle.com/datasets/wildlifedatasets/southernprovinceturtles,https://www.biorxiv.org/content/10.1101/2024.09.13.612839,adam2024exploiting,"{'green turtle'}",sea turtles,True,2024,481,481,481,51,True,False,double,True,False,True,short,55
